"state","took_office","left_office","governor"
"Abia State","2015","","Okezie Ikpeazu"
"Adamawa State","2015","","Bindo Jibrilla"
"Akwa Ibom State","2015","","Udom Gabriel Emmanuel"
"Anambra State","2010","","Willie Obiano"
"Bauchi State","2015","","Mohammed Abdullahi Abubakar"
"Bayelsa State","2011","","Henry Dickson"
"Benue State","2015","","Samuel Ortom"
"Borno State","2015","","Kashim Shettima"
"Cross River State","2015","","Benedict Ayade"
"Delta State","2015","","Ifeanyi Okowa"
"Ebonyi State","2015","","Dave Umahi"
"Edo State","2016","","Godwin Obaseki"
"Ekiti State","2014","","Ayo Fayose"
"Enugu State","2015","","Ifeanyi Ugwuanyi"
"Gombe State","2011","","Ibrahim Hassan Dankwambo"
"Imo State","2011","","Owelle Rochas Okorocha"
"Jigawa State","2015","","Badaru Abubakar"
"Kaduna State","2015","","Nasir Ahmad el-Rufai"
"Kano State","2015","","Abdullahi Umar Ganduje"
"Katsina State","2015","","Aminu Bello Masari"
"Kebbi State","2015","","Abubakar Atiku Bagudu"
"Kogi State","2016","","Yahaya Bello"
"Kwara State","2011","","Abdulfatah Ahmed"
"Lagos State","2015","","Akinwunmi Ambode"
"Nasarawa State","2011","","Umaru Tanko Al-Makura"
"Niger State","2015","","Abubakar Sani Bello"
"Ogun State","2011","","Ibikunle Oyelaja Amosun"
"Ondo State","2016","","Oluwarotimi Odunayo Akeredolu"
"Osun State","2010","","Rauf Aregbesola	"
"Oyo State","2011","","Isiaka Abiola Ajimobi"
"Plateau State","2015","","Simon Lalong	"
"Rivers State","2015","","Ezenwo Nyesom Wike"
"Sokoto State","2015","","Aminu Waziri Tambuwal"
"Taraba State","2015","","Arch. Darius Ishaku"
"Yobe State","2011","","Ibrahim Geidam"
"Zamfara State","2011","","Abdul-Aziz Yari Abubakar"
"Abuja","","","Mohammed Bello"